BLCA_5637
BLCA_639-V
BLCA_647-V
BLCA_BFTC-905
BLCA_CAL-29
BLCA_DSH1
BLCA_HT-1197
BLCA_HT-1376
BLCA_J82
BLCA_KU-19-19
BLCA_LB831-BLC
BLCA_RT-112
BLCA_RT4
BLCA_SW1710
BLCA_SW780
BLCA_T24
BLCA_TCCSUP
BLCA_UM-UC-3
BRCA_AU565
BRCA_BT-20
BRCA_BT-474
BRCA_BT-483
BRCA_BT-549
BRCA_CAL-120
BRCA_CAL-148
BRCA_CAL-51
BRCA_CAL-85-1
BRCA_CAMA-1
BRCA_COLO-824
BRCA_DU-4475
BRCA_EFM-19
BRCA_EFM-192A
BRCA_EVSA-T
BRCA_HCC1143
BRCA_HCC1187
BRCA_HCC1395
BRCA_HCC1419
BRCA_HCC1428
BRCA_HCC1500
BRCA_HCC1569
BRCA_HCC1599
BRCA_HCC1937
BRCA_HCC1954
BRCA_HCC202
BRCA_HCC2157
BRCA_HCC2218
BRCA_HCC38
BRCA_HCC70
BRCA_HDQ-P1
BRCA_Hs-578-T
BRCA_JIMT-1
BRCA_MCF7
BRCA_MDA-MB-157
BRCA_MDA-MB-175-VII
BRCA_MDA-MB-231
BRCA_MDA-MB-330
BRCA_MDA-MB-361
BRCA_MDA-MB-415
BRCA_MDA-MB-436
BRCA_MDA-MB-453
BRCA_MDA-MB-468
BRCA_MFM-223
BRCA_MRK-nu-1
BRCA_OCUB-M
BRCA_T47D
BRCA_UACC-812
BRCA_UACC-893
BRCA_YMB-1-E
BRCA_ZR-75-30
CESC_C-33-A
CESC_C-4-I
CESC_CAL-39
CESC_Ca-Ski
CESC_DoTc2-4510
CESC_HT-3
CESC_HeLa
CESC_ME-180
CESC_MS751
CESC_OMC-1
CESC_SISO
CESC_SKG-IIIa
CESC_SW756
CESC_SiHa
ESCA_COLO-680N
ESCA_EC-GI-10
ESCA_ESO26
ESCA_ESO51
ESCA_FLO-1
ESCA_HCE-4
ESCA_KYAE-1
ESCA_KYSE-140
ESCA_KYSE-150
ESCA_KYSE-180
ESCA_KYSE-220
ESCA_KYSE-270
ESCA_KYSE-410
ESCA_KYSE-450
ESCA_KYSE-50
ESCA_KYSE-510
ESCA_KYSE-520
ESCA_KYSE-70
ESCA_OACM5-1
ESCA_OACp4C
ESCA_OE19
ESCA_OE21
ESCA_OE33
ESCA_SK-GT-4
ESCA_T-T
ESCA_TE-1
ESCA_TE-10
ESCA_TE-11
ESCA_TE-12
ESCA_TE-15
ESCA_TE-4
ESCA_TE-5
ESCA_TE-6
ESCA_TE-8
ESCA_TE-9
GBM_42-MG-BA
GBM_8-MG-BA
GBM_A172
GBM_AM-38
GBM_Becker
GBM_CAS-1
GBM_D-245MG
GBM_D-247MG
GBM_D-263MG
GBM_D-392MG
GBM_D-423MG
GBM_D-542MG
GBM_D-566MG
GBM_DBTRG-05MG
GBM_DK-MG
GBM_GB-1
GBM_KS-1
GBM_LN-18
GBM_LN-229
GBM_LN-405
GBM_LNZTA3WT4
GBM_M059J
GBM_SF126
GBM_SF268
GBM_SF295
GBM_SK-MG-1
GBM_SNB75
GBM_SW1088
GBM_T98G
GBM_U-118-MG
GBM_U-87-MG
GBM_U251
GBM_YH-13
GBM_YKG-1
HNSC_BB30-HNC
HNSC_BB49-HNC
HNSC_BHY
HNSC_BICR10
HNSC_BICR22
HNSC_BICR31
HNSC_BICR78
HNSC_CAL-27
HNSC_CAL-33
HNSC_Ca9-22
HNSC_DOK
HNSC_Detroit562
HNSC_FADU
HNSC_HO-1-N-1
HNSC_HO-1-u-1
HNSC_HSC-2
HNSC_HSC-3
HNSC_HSC-4
HNSC_JHU-011
HNSC_JHU-022
HNSC_JHU-029
HNSC_KON
HNSC_KOSC-2
HNSC_LB771-HNC
HNSC_OSC-19
HNSC_OSC-20
HNSC_PCI-15A
HNSC_PCI-30
HNSC_PCI-38
HNSC_PCI-4B
HNSC_PCI-6A
HNSC_PE-CA-PJ15
HNSC_SAS
HNSC_SAT
HNSC_SCC-15
HNSC_SCC-25
HNSC_SCC-4
HNSC_SCC-9
HNSC_SCC90
HNSC_SKN-3
KIRC_769-P
KIRC_786-0
KIRC_A498
KIRC_A704
KIRC_ACHN
KIRC_BB65-RCC
KIRC_BFTC-909
KIRC_CAKI-1
KIRC_CAL-54
KIRC_HA7-RCC
KIRC_KMRC-1
KIRC_KMRC-20
KIRC_LB1047-RCC
KIRC_LB2241-RCC
KIRC_LB996-RCC
KIRC_NCC010
KIRC_NCC021
KIRC_OS-RC-2
KIRC_RCC-AB
KIRC_RCC-ER
KIRC_RCC-FG2
KIRC_RCC-JF
KIRC_RCC-JW
KIRC_RCC-MF
KIRC_RCC10RGB
KIRC_RXF393
KIRC_SN12C
KIRC_SW156
KIRC_TK10
KIRC_U031
KIRC_VMRC-RCW
KIRC_VMRC-RCZ
LIHC_C3A
LIHC_HLE
LIHC_Hep3B2-1-7
LIHC_HuH-7
LIHC_JHH-1
LIHC_JHH-2
LIHC_JHH-4
LIHC_JHH-6
LIHC_JHH-7
LIHC_SK-HEP-1
LIHC_SNU-387
LIHC_SNU-398
LIHC_SNU-423
LIHC_SNU-449
LIHC_SNU-475
LIHC_huH-1
LUAD_A549
LUAD_ABC-1
LUAD_COR-L105
LUAD_Calu-3
LUAD_Calu-6
LUAD_EKVX
LUAD_EMC-BAC-1
LUAD_EMC-BAC-2
LUAD_H3255
LUAD_HCC-44
LUAD_HCC-78
LUAD_HCC-827
LUAD_HOP-62
LUAD_LC-2-ad
LUAD_LXF-289
LUAD_NCI-H1355
LUAD_NCI-H1435
LUAD_NCI-H1437
LUAD_NCI-H1563
LUAD_NCI-H1568
LUAD_NCI-H1573
LUAD_NCI-H1623
LUAD_NCI-H1648
LUAD_NCI-H1650
LUAD_NCI-H1651
LUAD_NCI-H1666
LUAD_NCI-H1693
LUAD_NCI-H1734
LUAD_NCI-H1755
LUAD_NCI-H1781
LUAD_NCI-H1792
LUAD_NCI-H1793
LUAD_NCI-H1838
LUAD_NCI-H1944
LUAD_NCI-H1975
LUAD_NCI-H1993
LUAD_NCI-H2009
LUAD_NCI-H2023
LUAD_NCI-H2030
LUAD_NCI-H2085
LUAD_NCI-H2087
LUAD_NCI-H2122
LUAD_NCI-H2228
LUAD_NCI-H2291
LUAD_NCI-H23
LUAD_NCI-H2342
LUAD_NCI-H2347
LUAD_NCI-H2405
LUAD_NCI-H3122
LUAD_NCI-H322M
LUAD_NCI-H358
LUAD_NCI-H441
LUAD_NCI-H522
LUAD_NCI-H650
LUAD_NCI-H838
LUAD_PC-14
LUAD_PC-3_[JPC-3]
LUAD_RERF-LC-KJ
LUAD_RERF-LC-MS
LUAD_SK-LU-1
LUAD_SW1573
LUAD_VMRC-LCD
LUSC_EBC-1
LUSC_EPLC-272H
LUSC_HARA
LUSC_HCC-15
LUSC_KNS-62
LUSC_LC-1-sq
LUSC_LK-2
LUSC_LOU-NH91
LUSC_NCI-H1869
LUSC_NCI-H2170
LUSC_NCI-H226
LUSC_NCI-H520
LUSC_RERF-LC-Sq1
LUSC_SK-MES-1
PAAD_AsPC-1
PAAD_BxPC-3
PAAD_CAPAN-1
PAAD_CAPAN-2
PAAD_CFPAC-1
PAAD_DAN-G
PAAD_HPAC
PAAD_HPAF-II
PAAD_Hs-766T
PAAD_HuP-T3
PAAD_HuP-T4
PAAD_KP-1N
PAAD_KP-2
PAAD_KP-4
PAAD_MIA-PaCa-2
PAAD_MZ1-PC
PAAD_PA-TU-8902
PAAD_PA-TU-8988T
PAAD_PANC-02-03
PAAD_PANC-03-27
PAAD_PANC-04-03
PAAD_PANC-08-13
PAAD_PANC-10-05
PAAD_PL4
PAAD_PSN1
PAAD_SU8686
PAAD_SUIT-2
PAAD_SW1990
PAAD_YAPC
PRAD_22RV1
PRAD_DU-145
PRAD_LNCaP-Clone-FGC
PRAD_PC-3
PRAD_PWR-1E
PRAD_VCaP
SKCM_451Lu
